organizations	rank_occ	rank_gcs	rank_lcs	OCC	global_citations	local_citations	first_publication_year	last_year	age	global_citations_per_year	local_citations_per_year	global_citations_per_document	local_citations_per_document	h_index	g_index	m_index	counters
Univ of Manag and Technol (PAK)	35	20	39	1	77	0	2021	2025	5	15.4	0.0	77.0	0.0	1	1	0.2	Univ of Manag and Technol (PAK) 1:077
Univ of Nizwa (OMN)	36	21	40	1	77	0	2021	2025	5	15.4	0.0	77.0	0.0	1	1	0.2	Univ of Nizwa (OMN) 1:077
[UKN] Geophysical Fluid Dynamics Lab, Princeton, NJ, United States (USA)	37	22	41	1	77	0	2011	2025	15	5.133333333333334	0.0	77.0	0.0	1	1	0.07	[UKN] Geophysical Fluid Dynamics Lab, Princeton, NJ, United States (USA) 1:077
[UKN] Japan Agcy for Marine-Earth Sci and Technol, Yokohama, Japan (JPN)	38	23	42	1	77	0	2011	2025	15	5.133333333333334	0.0	77.0	0.0	1	1	0.07	[UKN] Japan Agcy for Marine-Earth Sci and Technol, Yokohama, Japan (JPN) 1:077
C2SMART Univ Transportation Cent (USA)	39	24	43	1	57	0	2021	2025	5	11.4	0.0	57.0	0.0	1	1	0.2	C2SMART Univ Transportation Cent (USA) 1:057
Univ of California Los Angeles (USA)	40	25	44	1	57	0	2021	2025	5	11.4	0.0	57.0	0.0	1	1	0.2	Univ of California Los Angeles (USA) 1:057
Chiang Mai Univ (THA)	41	26	16	1	52	1	2022	2025	4	13.0	0.25	52.0	1.0	1	1	0.25	Chiang Mai Univ (THA) 1:052
Rajamangala Univ of Technol Isan (THA)	42	27	17	1	52	1	2022	2025	4	13.0	0.25	52.0	1.0	1	1	0.25	Rajamangala Univ of Technol Isan (THA) 1:052
Suranaree Univ of Technol (THA)	43	28	18	1	52	1	2022	2025	4	13.0	0.25	52.0	1.0	1	1	0.25	Suranaree Univ of Technol (THA) 1:052
Kyoto Univ (JPN)	44	30	46	1	52	0	2016	2025	10	5.2	0.0	52.0	0.0	1	1	0.1	Kyoto Univ (JPN) 1:052
World Res Inst India (WRI India) (IND)	45	33	48	1	50	0	2020	2025	6	8.333333333333334	0.0	50.0	0.0	1	1	0.17	World Res Inst India (WRI India) (IND) 1:050
Cornell Univ (USA)	46	34	49	1	49	0	2019	2025	7	7.0	0.0	49.0	0.0	1	1	0.14	Cornell Univ (USA) 1:049
Int Maize and Wheat Improvement Cent (MEX)	47	35	50	1	49	0	2019	2025	7	7.0	0.0	49.0	0.0	1	1	0.14	Int Maize and Wheat Improvement Cent (MEX) 1:049
Int Maize and Wheat Improvement Cent (NPL)	48	36	51	1	49	0	2019	2025	7	7.0	0.0	49.0	0.0	1	1	0.14	Int Maize and Wheat Improvement Cent (NPL) 1:049
Georgia Inst of Technol (USA)	49	37	19	1	48	1	2020	2025	6	8.0	0.16666666666666666	48.0	1.0	1	1	0.17	Georgia Inst of Technol (USA) 1:048
Ningbo Univ (CHN)	50	38	20	1	48	1	2020	2025	6	8.0	0.16666666666666666	48.0	1.0	1	1	0.17	Ningbo Univ (CHN) 1:048
Purdue Univ (USA)	51	39	21	1	48	1	2020	2025	6	8.0	0.16666666666666666	48.0	1.0	1	1	0.17	Purdue Univ (USA) 1:048
Univ at Buffalo (USA)	52	40	22	1	48	1	2020	2025	6	8.0	0.16666666666666666	48.0	1.0	1	1	0.17	Univ at Buffalo (USA) 1:048
Univ of Hawaii at Manoa (USA)	53	41	23	1	48	1	2020	2025	6	8.0	0.16666666666666666	48.0	1.0	1	1	0.17	Univ of Hawaii at Manoa (USA) 1:048
Bandung Inst of Technol (IDN)	54	42	52	1	48	0	2018	2025	8	6.0	0.0	48.0	0.0	1	1	0.12	Bandung Inst of Technol (IDN) 1:048
Shahid Beheshti Univ (IRN)	55	43	53	1	48	0	2014	2025	12	4.0	0.0	48.0	0.0	1	1	0.08	Shahid Beheshti Univ (IRN) 1:048
[UKN] Transport Modeling at AECOM, Melbourne, VIC, Australia (AUS)	56	44	54	1	48	0	2014	2025	12	4.0	0.0	48.0	0.0	1	1	0.08	[UKN] Transport Modeling at AECOM, Melbourne, VIC, Australia (AUS) 1:048
Indian Inst of Technol Roorkee (IND)	57	47	57	1	43	0	2020	2025	6	7.166666666666667	0.0	43.0	0.0	1	1	0.17	Indian Inst of Technol Roorkee (IND) 1:043
Technische Univ Berlin (DEU)	58	48	58	1	43	0	2020	2025	6	7.166666666666667	0.0	43.0	0.0	1	1	0.17	Technische Univ Berlin (DEU) 1:043
Univ of Melbourne (AUS)	59	49	59	1	39	0	2013	2025	13	3.0	0.0	39.0	0.0	1	1	0.08	Univ of Melbourne (AUS) 1:039
[UKN] WWF South Africa, Sandton, South Africa (ZAF)	60	50	60	1	39	0	2013	2025	13	3.0	0.0	39.0	0.0	1	1	0.08	[UKN] WWF South Africa, Sandton, South Africa (ZAF) 1:039
Argonne Nac Lab (USA)	61	53	61	1	36	0	2013	2025	13	2.769230769230769	0.0	36.0	0.0	1	1	0.08	Argonne Nac Lab (USA) 1:036
Oriental Consultants Global Co. (JPN)	62	54	62	1	36	0	2021	2025	5	7.2	0.0	36.0	0.0	1	1	0.2	Oriental Consultants Global Co. (JPN) 1:036
Peking Univ (CHN)	63	55	63	1	36	0	2013	2025	13	2.769230769230769	0.0	36.0	0.0	1	1	0.08	Peking Univ (CHN) 1:036
[UKN] TNO, Dept of Sustainable Urban Mobility and Safety, Anna van Buerenplein 1, DA The Hague, 2595, Netherlands (NLD)	64	56	64	1	32	0	2023	2025	3	10.666666666666666	0.0	32.0	0.0	1	1	0.33	[UKN] TNO, Dept of Sustainable Urban Mobility and Safety, Anna van Buerenplein 1, DA The Hague, 2595, Netherlands (NLD) 1:032
Aristotle Univ of Thessaloniki (GRC)	65	57	65	1	31	0	2023	2025	3	10.333333333333334	0.0	31.0	0.0	1	1	0.33	Aristotle Univ of Thessaloniki (GRC) 1:031
Cent for Res and Technol Hellas (CERTH) (GRC)	66	58	66	1	31	0	2023	2025	3	10.333333333333334	0.0	31.0	0.0	1	1	0.33	Cent for Res and Technol Hellas (CERTH) (GRC) 1:031
Univ of Kentucky (USA)	67	59	67	1	31	0	2023	2025	3	10.333333333333334	0.0	31.0	0.0	1	1	0.33	Univ of Kentucky (USA) 1:031
Japan Transport Res Inst (JPN)	68	60	68	1	29	0	2018	2025	8	3.625	0.0	29.0	0.0	1	1	0.12	Japan Transport Res Inst (JPN) 1:029
Nagoya Univ (JPN)	69	61	69	1	26	0	2008	2025	18	1.4444444444444444	0.0	26.0	0.0	1	1	0.06	Nagoya Univ (JPN) 1:026
Newcastle Univ (GBR)	70	62	70	1	26	0	2008	2025	18	1.4444444444444444	0.0	26.0	0.0	1	1	0.06	Newcastle Univ (GBR) 1:026
